Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-10-30;40,40;40,60;40,40;41,00;40,40;41,00;40,799;317;12933,4;5;
2020-10-29;40,40;41,00;40,40;40,40;40,40;40,40;40,40;501;20240,4;5;
2020-10-28;40,40;41,00;41,60;41,60;40,40;40,40;40,682;1122;45645,6;10;
2020-10-27;40,80;41,20;41,00;41,80;40,80;40,80;41,011;228;9350,6;4;
2020-10-26;41,00;42,00;41,00;42,00;41,00;42,00;41,96;4168;174890;21;
2020-10-23;41,00;41,40;41,60;42,20;41,00;41,00;41,178;707;29113;6;
2020-10-22;40,80;41,40;41,80;42,40;41,00;41,00;41,706;425;17725;4;
2020-10-21;40,80;41,80;41,40;42,00;41,00;41,80;41,586;781;32478,4;10;
2020-10-20;41,20;41,60;41,60;42,00;41,00;41,20;41,714;1130;47137,2;9;
2020-10-19;40,40;41,00;42,60;42,60;40,00;41,60;40,886;2349;96041,4;22;
2020-10-16;39,40;39,60;39,40;39,40;39,40;39,40;39,40;9;354,6;1;
2020-10-15;39,20;39,40;40,00;40,00;39,00;39,40;39,417;420;16555,2;10;
2020-10-14;38,00;39,00;46,00;46,00;38,40;38,40;42,802;1240;53074,8;14;
2020-10-13;40,20;40,40;41,80;41,80;40,20;40,20;40,346;1024;41313,8;12;
2020-10-12;40,40;41,20;40,40;42,00;40,40;41,80;40,959;433;17735,2;10;
2020-10-09;40,40;40,60;41,00;42,40;40,20;40,40;41,293;1739;71807,8;24;
2020-10-08;40,20;41,00;40,80;41,00;40,20;41,00;40,651;1295;52642,6;12;
2020-10-07;40,40;40,80;40,40;40,80;40,20;40,80;40,619;1915;77785;16;
2020-10-06;40,20;40,40;40,60;41,00;40,00;40,20;40,278;2368;95378,2;26;
2020-10-05;40,00;40,60;40,20;40,60;40,00;40,60;40,133;943;37845,6;17;
2020-10-02;40,20;40,60;40,40;40,60;40,20;40,20;40,254;3150;126801,4;11;
2020-10-01;40,20;40,40;40,20;40,20;40,20;40,20;40,20;1766;70993,2;11;
2020-09-30;40,20;40,60;40,60;40,60;40,20;40,20;40,367;285;11504,6;4;
2020-09-29;40,20;40,80;40,20;41,40;40,20;40,20;40,238;127;5110,2;5;
2020-09-28;40,20;40,80;41,00;41,00;40,00;41,00;40,83;1722;70308,8;15;
2020-09-25;40,20;40,60;41,40;41,40;40,00;41,00;40,608;923;37481;13;
2020-09-24;40,80;41,20;46,00;46,00;39,80;40,00;41,059;13744;564314;85;
2020-09-23;42,793;43,90;46,113;46,113;41,318;43,90;43,762;8311,026476826846;363708,5;54;
2020-09-22;47,22;47,958;52,754;52,754;42,055;49,434;48,47;11002,758143979181;533301;79;
2020-09-21;51,278;52,754;54,598;56,074;50,909;56,074;52,534;1414,9888522190522;74335;17;
2020-09-18;52,754;53,86;54,598;54,598;54,598;54,598;54,598;1,3553533067232301;74;1;
2020-09-17;52,754;53,86;54,229;54,598;52,385;54,598;53,733;730,535432323821;39254;7;
2020-09-16;52,385;53,492;52,385;53,86;52,385;53,86;53,064;323,929440306852;17189;6;
2020-09-15;52,754;53,123;53,123;53,492;52,385;53,492;52,663;143,66745051266238;7566;5;
2020-09-14;52,385;53,492;52,385;53,492;52,385;53,492;52,615;97,58543808407256;5134,5;3;
2020-09-11;52,385;53,492;53,123;53,86;52,385;53,86;52,836;243,9635952101814;12890;5;
2020-09-10;52,385;53,492;52,754;54,229;52,385;53,492;53,181;596,3554549582212;31714,5;8;
2020-09-09;52,385;54,229;53,86;54,229;52,754;54,229;53,899;352,39185974803985;18993,5;5;
2020-09-08;52,385;53,123;;;;53,86;;;;0;
2020-09-07;52,385;53,492;54,229;54,229;53,86;53,86;53,958;563,8269755968637;30423;7;
2020-09-04;53,86;54,967;54,229;55,705;53,86;54,229;54,526;1314,692707521533;71684,5;9;
2020-09-03;54,967;56,074;56,074;56,074;56,074;56,074;56,074;20,330299600848452;1140;1;
2020-09-02;54,967;56,812;54,229;57,55;54,229;57,55;55,837;370,0114527354418;20660,5;8;
2020-09-01;53,86;55,705;53,86;55,705;53,86;55,705;54,168;8,13211984033938;440,5;3;
2020-08-31;54,229;55,705;;;;56,812;;;;0;
2020-08-28;53,123;54,967;56,812;56,812;56,812;56,812;56,812;338,83832668080754;19250;3;
2020-08-27;53,123;54,598;53,123;54,598;53,123;54,598;54,116;1610,1597283871974;87136;8;
2020-08-26;54,229;55,336;53,86;54,598;53,86;54,229;54,183;1549,168829584652;83939;6;
2020-08-25;52,385;53,86;54,229;54,229;54,229;54,229;54,229;1,3553533067232301;73,5;1;
2020-08-24;52,385;53,492;52,385;52,385;52,385;52,385;52,385;63,701605415991814;3337;3;
2020-08-21;52,385;53,123;53,123;53,123;53,123;53,123;53,123;8,13211984033938;432;1;
2020-08-20;52,385;53,123;53,123;53,123;52,385;52,385;52,458;1363,4854265635695;71526;3;
2020-08-19;52,385;52,754;52,016;53,123;52,016;53,123;52,476;2377,2896999925456;124750;14;
2020-08-18;50,171;51,278;50,171;51,647;50,171;51,647;51,609;417,4488184707549;21544;4;
2020-08-17;50,171;50,909;52,016;52,016;50,54;50,54;51,063;491,99325034053254;25122,5;6;
2020-08-14;51,647;52,385;52,016;53,123;51,647;51,647;51,884;71,83372525633119;3727;3;
2020-08-13;51,647;52,754;53,492;53,86;51,647;53,86;52,486;661,4124136809363;34715;9;
2020-08-12;52,385;53,492;52,016;53,492;52,016;53,492;53,019;43,371305815143366;2299,5;6;
2020-08-11;51,647;52,754;53,86;53,86;53,86;53,86;53,86;226,34400222277944;12191;3;
2020-08-10;51,647;52,754;52,754;53,86;51,647;53,86;52,216;1656,2417408157871;86481,5;9;
2020-08-07;53,123;53,492;52,754;55,336;52,754;52,754;53,037;943,3259014793681;50031;11;
2020-08-06;54,229;54,598;54,967;56,074;54,229;54,598;54,66;1233,3715091181393;67415,5;8;
2020-08-05;54,229;54,967;53,492;58,656;53,492;58,656;57,014;1035,4899263365478;59037;13;
2020-08-04;53,492;54,229;53,492;56,443;52,754;56,443;54,638;436,4237647648801;23845,5;10;
